question_id,global_id,category_id,category_name,pred_answer,answer,correct
55,global_010373,,,C,D,False
56,global_010374,5,Holistic Understanding of Events,B,B,True
61,global_010375,3,Action Transition,C,A,False
62,global_010376,2,Interaction Recognition,A,B,False
63,global_010377,2,Interaction Recognition,B,D,False
65,global_010378,4,Causal Motion,D,A,False
67,global_010379,2,Interaction Recognition,C,C,True
68,global_010380,1,Change Detection,C,D,False
71,global_010381,1,Change Detection,B,D,False
72,global_010382,,,C,C,True
73,global_010383,4,Causal Motion,A,A,True
75,global_010384,2,Interaction Recognition,C,A,False
78,global_010385,4,Causal Motion,D,D,True
79,global_010386,5,Holistic Understanding of Events,D,D,True
80,global_010387,5,Holistic Understanding of Events,B,B,True
82,global_010388,1,Change Detection,D,A,False
83,global_010389,,,A,D,False
84,global_010390,2,Interaction Recognition,A,D,False
113,global_010391,,,C,D,False
115,global_010392,5,Holistic Understanding of Events,D,D,True
117,global_010393,3,Action Transition,C,C,True
120,global_010394,3,Action Transition,A,A,True
121,global_010395,4,Causal Motion,A,D,False
123,global_010396,5,Holistic Understanding of Events,D,C,False
125,global_010397,5,Holistic Understanding of Events,B,A,False
126,global_010398,3,Action Transition,B,C,False
127,global_010399,3,Action Transition,C,C,True
128,global_010400,3,Action Transition,B,A,False
130,global_010401,3,Action Transition,B,C,False
132,global_010402,,,D,B,False
133,global_010403,5,Holistic Understanding of Events,B,B,True
134,global_010404,1,Change Detection,D,A,False
135,global_010405,5,Holistic Understanding of Events,C,A,False
136,global_010406,1,Change Detection,C,C,True
137,global_010407,5,Holistic Understanding of Events,C,C,True
250,global_010420,1,Change Detection,A,B,False
251,global_010421,1,Change Detection,F,C,False
252,global_010422,,,A,C,False
253,global_010423,5,Holistic Understanding of Events,D,A,False
254,global_010424,5,Holistic Understanding of Events,B,C,False
255,global_010425,3,Action Transition,C,C,True
257,global_010426,2,Interaction Recognition,B,A,False
258,global_010427,,,A,A,True
259,global_010428,,,D,D,True
264,global_010429,1,Change Detection,B,D,False
266,global_010430,2,Interaction Recognition,C,B,False
267,global_010431,2,Interaction Recognition,D,B,False
268,global_010432,5,Holistic Understanding of Events,B,C,False
273,global_010433,5,Holistic Understanding of Events,B,D,False
274,global_010434,5,Holistic Understanding of Events,C,D,False
277,global_010435,4,Causal Motion,B,D,False
278,global_010436,,,B,B,True
279,global_010437,,,B,D,False
398,global_010438,3,Action Transition,D,B,False
399,global_010439,4,Causal Motion,B,D,False
401,global_010440,,,B,A,False
402,global_010441,1,Change Detection,A,D,False
403,global_010442,5,Holistic Understanding of Events,B,D,False
407,global_010443,4,Causal Motion,D,B,False
410,global_010444,4,Causal Motion,C,B,False
412,global_010445,5,Holistic Understanding of Events,C,D,False
414,global_010446,5,Holistic Understanding of Events,D,D,True
416,global_010447,3,Action Transition,D,A,False
417,global_010448,5,Holistic Understanding of Events,A,D,False
419,global_010449,1,Change Detection,B,D,False
421,global_010450,,,A,A,True
503,global_010451,,,A,A,True
506,global_010452,5,Holistic Understanding of Events,D,D,True
508,global_010453,4,Causal Motion,D,D,True
509,global_010454,1,Change Detection,A,B,False
510,global_010455,,,A,B,False
511,global_010456,2,Interaction Recognition,D,C,False
513,global_010457,,,C,C,True
514,global_010458,,,A,A,True
516,global_010459,5,Holistic Understanding of Events,B,B,True
517,global_010460,5,Holistic Understanding of Events,B,A,False
522,global_010461,,,B,A,False
527,global_010462,,,D,B,False
528,global_010463,3,Action Transition,A,B,False
529,global_010464,,,A,A,True
531,global_010465,,,B,B,True
532,global_010466,5,Holistic Understanding of Events,A,C,False
651,global_010467,,,C,C,True
653,global_010468,,,C,C,True
654,global_010469,,,C,A,False
657,global_010470,4,Causal Motion,A,B,False
658,global_010471,5,Holistic Understanding of Events,B,D,False
659,global_010472,,,E,A,False
660,global_010473,1,Change Detection,A,D,False
661,global_010474,5,Holistic Understanding of Events,D,D,True
663,global_010475,1,Change Detection,B,D,False
664,global_010476,2,Interaction Recognition,B,D,False
665,global_010477,3,Action Transition,C,D,False
666,global_010478,5,Holistic Understanding of Events,D,D,True
667,global_010479,5,Holistic Understanding of Events,A,C,False
668,global_010480,4,Causal Motion,D,D,True
670,global_010481,3,Action Transition,C,C,True
671,global_010482,1,Change Detection,A,B,False
673,global_010483,5,Holistic Understanding of Events,B,B,True
674,global_010484,,,B,A,False
842,global_010485,,,A,A,True
843,global_010486,1,Change Detection,B,B,True
847,global_010487,2,Interaction Recognition,A,D,False
848,global_010488,5,Holistic Understanding of Events,C,C,True
850,global_010489,2,Interaction Recognition,A,A,True
