question_id,global_id,category_id,category_name,pred_answer,answer,correct
8,global_020481,,,C,C,True
1,global_020468,,,B,B,True
3,global_020485,,,B,B,True
5,global_020484,,,D,D,True
2,global_020469,5,Holistic Understanding of Events,C,E,False
0,global_020474,,,C,C,True
7,global_020478,,,C,C,True
9,global_020482,,,A,A,True
6,global_020463,,,E,E,True
0,global_020474,,,A,A,True
7,global_020478,,,D,D,True
3,global_020485,,,D,D,True
8,global_020481,,,D,E,False
3,global_020485,,,C,A,False
6,global_020463,,,B,B,True
9,global_020482,,,A,A,True
1,global_020468,,,C,C,True
8,global_020481,,,A,A,True
8,global_020481,,,A,E,False
9,global_020482,,,B,B,True
7,global_020478,,,C,A,False
3,global_020485,,,A,A,True
3,global_020485,,,C,C,True
7,global_020478,,,E,A,False
0,global_020474,,,B,C,False
4,global_020477,,,A,B,False
0,global_020474,,,C,C,True
2,global_020469,5,Holistic Understanding of Events,D,D,True
8,global_020481,,,B,B,True
8,global_020481,,,A,A,True
5,global_020484,,,B,B,True
6,global_020463,,,A,A,True
5,global_020484,,,E,E,True
7,global_020478,,,C,C,True
2,global_020469,5,Holistic Understanding of Events,D,D,True
0,global_020474,,,B,B,True
4,global_020477,,,C,C,True
2,global_020469,5,Holistic Understanding of Events,E,A,False
3,global_020485,,,B,B,True
6,global_020463,,,C,C,True
5,global_020484,,,E,E,True
0,global_020474,,,E,E,True
4,global_020477,,,B,B,True
6,global_020463,,,E,E,True
2,global_020469,5,Holistic Understanding of Events,B,B,True
2,global_020469,5,Holistic Understanding of Events,C,C,True
1,global_020468,,,B,D,False
5,global_020484,,,A,A,True
10,global_020479,,,B,B,True
3,global_020485,,,C,C,True
8,global_020481,,,D,D,True
8,global_020481,,,A,D,False
6,global_020463,,,E,C,False
7,global_020478,,,E,E,True
3,global_020485,,,A,A,True
4,global_020477,,,B,B,True
1,global_020468,,,E,E,True
0,global_020474,,,A,A,True
2,global_020469,5,Holistic Understanding of Events,D,A,False
4,global_020477,,,C,B,False
3,global_020485,,,B,E,False
8,global_020481,,,A,C,False
0,global_020474,,,D,D,True
8,global_020481,,,B,B,True
4,global_020477,,,D,D,True
2,global_020469,5,Holistic Understanding of Events,D,D,True
1,global_020468,,,E,D,False
2,global_020469,5,Holistic Understanding of Events,B,B,True
3,global_020485,,,E,E,True
0,global_020474,,,C,E,False
3,global_020485,,,D,D,True
1,global_020468,,,E,E,True
5,global_020484,,,B,B,True
3,global_020485,,,A,A,True
4,global_020477,,,D,E,False
1,global_020468,,,D,D,True
0,global_020474,,,C,D,False
1,global_020468,,,A,A,True
9,global_020482,,,A,B,False
2,global_020469,5,Holistic Understanding of Events,C,C,True
6,global_020463,,,E,E,True
7,global_020478,,,C,C,True
6,global_020463,,,A,D,False
5,global_020484,,,A,C,False
2,global_020469,5,Holistic Understanding of Events,B,B,True
3,global_020485,,,D,D,True
4,global_020477,,,C,E,False
3,global_020485,,,A,D,False
5,global_020484,,,A,A,True
5,global_020484,,,A,A,True
3,global_020485,,,E,E,True
6,global_020463,,,A,A,True
2,global_020469,5,Holistic Understanding of Events,C,B,False
4,global_020477,,,C,C,True
1,global_020468,,,B,B,True
5,global_020484,,,B,C,False
1,global_020468,,,B,C,False
0,global_020474,,,A,C,False
6,global_020463,,,C,B,False
4,global_020477,,,C,C,True
4,global_020477,,,A,E,False
2,global_020469,5,Holistic Understanding of Events,E,E,True
3,global_020485,,,E,D,False
4,global_020477,,,B,C,False
3,global_020485,,,A,A,True
3,global_020485,,,A,A,True
8,global_020481,,,B,A,False
9,global_020482,,,D,E,False
7,global_020478,,,D,D,True
5,global_020484,,,C,C,True
7,global_020478,,,C,C,True
0,global_020474,,,C,C,True
0,global_020474,,,B,B,True
6,global_020463,,,D,B,False
5,global_020484,,,B,B,True
5,global_020484,,,E,E,True
11,global_020273,,,D,A,False
4,global_020477,,,C,D,False
8,global_020481,,,C,B,False
2,global_020469,5,Holistic Understanding of Events,B,B,True
5,global_020484,,,C,C,True
