question_id,global_id,category_id,category_name,pred_answer,answer,correct
5qMcDQd17Y4_1,global_023191,,,A,A,True
7F9IrtSHmc0_0,global_023192,5,Holistic Understanding of Events,B,C,False
9PD3ciudpIE_0,global_023188,,,C,A,False
7F9IrtSHmc0_1,global_023193,5,Holistic Understanding of Events,D,D,True
86CxyhFV9MI_1,global_023187,1,Change Detection,D,C,False
86CxyhFV9MI_0,global_023186,,,C,B,False
9PD3ciudpIE_1,global_023189,,,D,A,False
QJ6sjg7SXOQ_0,global_023194,2,Interaction Recognition,E,E,True
QJ6sjg7SXOQ_1,global_023195,5,Holistic Understanding of Events,D,C,False
mH9LdC7IFH8_1,global_023197,3,Action Transition,D,A,False
mH9LdC7IFH8_0,global_023196,3,Action Transition,D,B,False
LB1qPExHQY8_0,global_023198,1,Change Detection,B,A,False
LB1qPExHQY8_1,global_023199,1,Change Detection,A,B,False
8hhcFRoR0mw_0,global_023200,2,Interaction Recognition,D,D,True
8hhcFRoR0mw_1,global_023201,5,Holistic Understanding of Events,A,A,True
h4jIoMxZopU_0,global_023202,5,Holistic Understanding of Events,E,E,True
h4jIoMxZopU_1,global_023203,5,Holistic Understanding of Events,A,A,True
M7YSCIkUaNw_0,global_023204,5,Holistic Understanding of Events,C,C,True
M7YSCIkUaNw_1,global_023205,1,Change Detection,D,D,True
mbcvVYobCXI_1,global_023206,3,Action Transition,B,C,False
CEZ9rbjK3P4_1,global_023208,,,A,A,True
CEZ9rbjK3P4_0,global_023207,,,A,A,True
5KLSf7kwr7s_0,global_023211,5,Holistic Understanding of Events,A,E,False
MPQn_orwpfA_1,global_023210,,,D,D,True
5KLSf7kwr7s_1,global_023212,5,Holistic Understanding of Events,B,D,False
MPQn_orwpfA_0,global_023209,,,B,B,True
rMXJOKhf_AA_0,global_023213,5,Holistic Understanding of Events,B,D,False
JIoE18JYGcM_0,global_023217,,,B,B,True
rMXJOKhf_AA_1,global_023214,1,Change Detection,C,C,True
LcZxjqtzXJI_0,global_023215,5,Holistic Understanding of Events,B,A,False
JIoE18JYGcM_1,global_023218,,,D,D,True
LcZxjqtzXJI_1,global_023216,5,Holistic Understanding of Events,E,E,True
rZq-8Bq3mkU_0,global_023219,1,Change Detection,A,E,False
rZq-8Bq3mkU_1,global_023220,1,Change Detection,B,E,False
wxWo44MoCTI_1,global_023226,1,Change Detection,C,A,False
ezhafkxoRdo_0,global_023223,3,Action Transition,C,C,True
ezhafkxoRdo_1,global_023224,3,Action Transition,C,D,False
wxWo44MoCTI_0,global_023225,1,Change Detection,D,B,False
VSZ8ywgGNGM_0,global_023221,2,Interaction Recognition,B,D,False
VkNF0rXuDXw_0,global_023227,2,Interaction Recognition,D,D,True
VSZ8ywgGNGM_1,global_023222,,,B,B,True
VkNF0rXuDXw_1,global_023228,5,Holistic Understanding of Events,B,B,True
v0QLje6xYgA_0,global_023229,1,Change Detection,C,D,False
x4dFLY_-vKs_1,global_023233,,,E,B,False
x4dFLY_-vKs_0,global_023232,,,A,A,True
UUaiqR1I454_1,global_023231,,,D,C,False
yn7oTvw8QRY_0,global_023234,1,Change Detection,D,D,True
UUaiqR1I454_0,global_023230,5,Holistic Understanding of Events,A,C,False
t1nhAnMQBHg_0,global_023236,,,C,B,False
yn7oTvw8QRY_1,global_023235,,,D,D,True
eJr-y6UXnRE_0,global_023241,,,D,E,False
s1TjVlKBpjs_1,global_023238,,,C,C,True
s1TjVlKBpjs_0,global_023237,5,Holistic Understanding of Events,E,B,False
KIf2fGmluhY_1,global_023240,1,Change Detection,A,A,True
KIf2fGmluhY_0,global_023239,5,Holistic Understanding of Events,B,C,False
_zEM6Fc-7NI_0,global_023243,,,B,C,False
_zEM6Fc-7NI_1,global_023244,,,D,A,False
Z00vWImw1KQ_1,global_023246,1,Change Detection,E,E,True
eJr-y6UXnRE_1,global_023242,,,C,B,False
tGiRbGGwRj8_0,global_023247,,,A,B,False
ixlQX7lV8dc_0,global_023249,,,A,D,False
Z00vWImw1KQ_0,global_023245,1,Change Detection,C,C,True
tGiRbGGwRj8_1,global_023248,,,A,A,True
AnLMDMzO4QY_1,global_023252,,,B,B,True
marOr6mJefE_1,global_023254,1,Change Detection,D,D,True
marOr6mJefE_0,global_023253,2,Interaction Recognition,C,C,True
@movie.explained6-7261188695892462856_0,global_023255,5,Holistic Understanding of Events,B,B,True
AnLMDMzO4QY_0,global_023251,,,A,A,True
qjY9kmveQAk_0,global_023256,,,C,C,True
qjY9kmveQAk_1,global_023257,,,B,B,True
ixlQX7lV8dc_1,global_023250,,,B,B,True
QHS9ZZBdK-g_0,global_023258,5,Holistic Understanding of Events,C,A,False
NpYUxd1vUUE_1,global_023263,5,Holistic Understanding of Events,D,B,False
liRm38L9EC4_0,global_023264,,,A,A,True
QHS9ZZBdK-g_1,global_023259,,,D,B,False
h0OHi9uAcBo_0,global_023260,3,Action Transition,B,B,True
