question_id,global_id,category_id,category_name,pred_answer,answer,correct
55,global_010373,,,D,D,True
56,global_010374,5,Holistic Understanding of Events,B,B,True
61,global_010375,3,Action Transition,C,A,False
62,global_010376,2,Interaction Recognition,B,B,True
63,global_010377,2,Interaction Recognition,A,D,False
65,global_010378,4,Causal Motion,D,A,False
67,global_010379,2,Interaction Recognition,A,C,False
68,global_010380,1,Change Detection,B,D,False
71,global_010381,1,Change Detection,C,D,False
72,global_010382,,,C,C,True
73,global_010383,4,Causal Motion,C,A,False
75,global_010384,2,Interaction Recognition,B,A,False
78,global_010385,4,Causal Motion,D,D,True
79,global_010386,5,Holistic Understanding of Events,E,D,False
80,global_010387,5,Holistic Understanding of Events,B,B,True
82,global_010388,1,Change Detection,A,A,True
83,global_010389,,,C,D,False
84,global_010390,2,Interaction Recognition,C,D,False
113,global_010391,,,D,D,True
115,global_010392,5,Holistic Understanding of Events,D,D,True
117,global_010393,3,Action Transition,C,C,True
120,global_010394,3,Action Transition,C,A,False
121,global_010395,4,Causal Motion,A,D,False
123,global_010396,5,Holistic Understanding of Events,D,C,False
125,global_010397,5,Holistic Understanding of Events,A,A,True
126,global_010398,3,Action Transition,A,C,False
127,global_010399,3,Action Transition,C,C,True
128,global_010400,3,Action Transition,E,A,False
130,global_010401,3,Action Transition,B,C,False
132,global_010402,,,D,B,False
133,global_010403,5,Holistic Understanding of Events,B,B,True
134,global_010404,1,Change Detection,D,A,False
135,global_010405,5,Holistic Understanding of Events,C,A,False
136,global_010406,1,Change Detection,C,C,True
137,global_010407,5,Holistic Understanding of Events,C,C,True
250,global_010420,1,Change Detection,A,B,False
251,global_010421,1,Change Detection,E,C,False
252,global_010422,,,A,C,False
253,global_010423,5,Holistic Understanding of Events,B,A,False
254,global_010424,5,Holistic Understanding of Events,A,C,False
255,global_010425,3,Action Transition,C,C,True
257,global_010426,2,Interaction Recognition,B,A,False
258,global_010427,,,A,A,True
259,global_010428,,,A,D,False
264,global_010429,1,Change Detection,A,D,False
266,global_010430,2,Interaction Recognition,C,B,False
267,global_010431,2,Interaction Recognition,D,B,False
268,global_010432,5,Holistic Understanding of Events,B,C,False
273,global_010433,5,Holistic Understanding of Events,C,D,False
274,global_010434,5,Holistic Understanding of Events,D,D,True
277,global_010435,4,Causal Motion,B,D,False
278,global_010436,,,B,B,True
279,global_010437,,,E,D,False
398,global_010438,3,Action Transition,A,B,False
399,global_010439,4,Causal Motion,A,D,False
401,global_010440,,,D,A,False
402,global_010441,1,Change Detection,C,D,False
403,global_010442,5,Holistic Understanding of Events,C,D,False
407,global_010443,4,Causal Motion,D,B,False
410,global_010444,4,Causal Motion,C,B,False
412,global_010445,5,Holistic Understanding of Events,C,D,False
414,global_010446,5,Holistic Understanding of Events,D,D,True
416,global_010447,3,Action Transition,A,A,True
417,global_010448,5,Holistic Understanding of Events,A,D,False
419,global_010449,1,Change Detection,B,D,False
421,global_010450,,,A,A,True
503,global_010451,,,A,A,True
506,global_010452,5,Holistic Understanding of Events,E,D,False
508,global_010453,4,Causal Motion,D,D,True
509,global_010454,1,Change Detection,B,B,True
510,global_010455,,,A,B,False
511,global_010456,2,Interaction Recognition,B,C,False
513,global_010457,,,B,C,False
514,global_010458,,,A,A,True
516,global_010459,5,Holistic Understanding of Events,B,B,True
517,global_010460,5,Holistic Understanding of Events,A,A,True
522,global_010461,,,C,A,False
527,global_010462,,,D,B,False
528,global_010463,3,Action Transition,A,B,False
529,global_010464,,,A,A,True
531,global_010465,,,B,B,True
532,global_010466,5,Holistic Understanding of Events,A,C,False
651,global_010467,,,E,C,False
653,global_010468,,,A,C,False
654,global_010469,,,C,A,False
657,global_010470,4,Causal Motion,B,B,True
658,global_010471,5,Holistic Understanding of Events,E,D,False
659,global_010472,,,E,A,False
660,global_010473,1,Change Detection,A,D,False
661,global_010474,5,Holistic Understanding of Events,E,D,False
663,global_010475,1,Change Detection,A,D,False
664,global_010476,2,Interaction Recognition,B,D,False
665,global_010477,3,Action Transition,C,D,False
666,global_010478,5,Holistic Understanding of Events,A,D,False
667,global_010479,5,Holistic Understanding of Events,A,C,False
668,global_010480,4,Causal Motion,C,D,False
670,global_010481,3,Action Transition,C,C,True
671,global_010482,1,Change Detection,A,B,False
673,global_010483,5,Holistic Understanding of Events,D,B,False
674,global_010484,,,C,A,False
842,global_010485,,,A,A,True
843,global_010486,1,Change Detection,C,B,False
847,global_010487,2,Interaction Recognition,D,D,True
848,global_010488,5,Holistic Understanding of Events,C,C,True
850,global_010489,2,Interaction Recognition,B,A,False
851,global_010490,5,Holistic Understanding of Events,B,C,False
854,global_010491,,,E,C,False
855,global_010492,5,Holistic Understanding of Events,C,C,True
856,global_010493,2,Interaction Recognition,D,D,True
857,global_010494,5,Holistic Understanding of Events,D,D,True
858,global_010495,5,Holistic Understanding of Events,D,A,False
859,global_010496,,,A,B,False
860,global_010497,5,Holistic Understanding of Events,A,D,False
869,global_010498,5,Holistic Understanding of Events,A,D,False
898,global_010499,,,D,C,False
899,global_010500,5,Holistic Understanding of Events,A,A,True
900,global_010501,,,A,A,True
901,global_010502,,,A,A,True
903,global_010503,3,Action Transition,C,C,True
908,global_010504,,,A,B,False
911,global_010505,2,Interaction Recognition,D,A,False
912,global_010506,,,A,D,False
913,global_010507,,,A,D,False
914,global_010508,5,Holistic Understanding of Events,B,B,True
916,global_010509,2,Interaction Recognition,B,C,False
917,global_010510,2,Interaction Recognition,C,C,True
918,global_010511,5,Holistic Understanding of Events,A,A,True
977,global_010512,,,D,D,True
978,global_010513,3,Action Transition,B,D,False
979,global_010514,5,Holistic Understanding of Events,C,A,False
983,global_010515,2,Interaction Recognition,A,D,False
984,global_010516,5,Holistic Understanding of Events,A,C,False
985,global_010517,1,Change Detection,C,C,True
989,global_010518,5,Holistic Understanding of Events,C,B,False
991,global_010519,,,A,C,False
992,global_010520,,,D,A,False
993,global_010521,3,Action Transition,A,D,False
995,global_010522,1,Change Detection,C,C,True
996,global_010523,3,Action Transition,C,C,True
998,global_010524,1,Change Detection,A,A,True
999,global_010525,1,Change Detection,E,C,False
1000,global_010526,1,Change Detection,C,D,False
1001,global_010527,3,Action Transition,B,C,False
1002,global_010528,3,Action Transition,C,D,False
1055,global_010529,5,Holistic Understanding of Events,E,C,False
1069,global_010530,,,A,B,False
1070,global_010531,,,B,B,True
1071,global_010532,2,Interaction Recognition,C,D,False
1076,global_010533,,,A,A,True
1077,global_010534,,,E,D,False
1079,global_010535,1,Change Detection,A,B,False
1080,global_010536,,,A,C,False
1082,global_010537,,,A,B,False
1083,global_010538,1,Change Detection,A,A,True
1112,global_010539,2,Interaction Recognition,D,D,True
1113,global_010540,,,A,A,True
1114,global_010541,5,Holistic Understanding of Events,A,A,True
1115,global_010542,1,Change Detection,A,C,False
1117,global_010543,2,Interaction Recognition,C,D,False
1118,global_010544,5,Holistic Understanding of Events,B,B,True
1120,global_010545,5,Holistic Understanding of Events,A,A,True
1122,global_010546,5,Holistic Understanding of Events,A,D,False
1123,global_010547,1,Change Detection,A,A,True
1125,global_010548,5,Holistic Understanding of Events,D,B,False
1126,global_010549,,,D,D,True
1128,global_010550,3,Action Transition,D,C,False
1129,global_010551,3,Action Transition,C,C,True
1130,global_010552,3,Action Transition,A,D,False
1132,global_010553,,,B,B,True
1133,global_010554,5,Holistic Understanding of Events,A,A,True
1134,global_010555,5,Holistic Understanding of Events,B,A,False
1135,global_010556,,,D,D,True
1136,global_010557,,,D,D,True
1137,global_010558,,,C,A,False
1225,global_010559,1,Change Detection,B,B,True
1227,global_010560,,,B,A,False
1229,global_010561,,,A,C,False
1231,global_010562,3,Action Transition,B,D,False
1232,global_010563,5,Holistic Understanding of Events,A,D,False
1233,global_010564,2,Interaction Recognition,D,B,False
1234,global_010565,,,C,C,True
1235,global_010566,1,Change Detection,A,C,False
1237,global_010567,3,Action Transition,B,D,False
1240,global_010568,,,A,D,False
1241,global_010569,,,C,D,False
1243,global_010570,5,Holistic Understanding of Events,A,D,False
1246,global_010571,5,Holistic Understanding of Events,E,D,False
1247,global_010572,,,A,C,False
1248,global_010573,3,Action Transition,C,C,True
1249,global_010574,,,A,A,True
1558,global_010575,,,C,D,False
1562,global_010576,,,C,D,False
1564,global_010577,5,Holistic Understanding of Events,A,B,False
1567,global_010578,,,C,A,False
1569,global_010579,,,A,B,False
1570,global_010580,,,B,B,True
1572,global_010581,5,Holistic Understanding of Events,B,A,False
1575,global_010582,5,Holistic Understanding of Events,D,D,True
1576,global_010583,,,E,C,False
1938,global_010610,,,C,D,False
1944,global_010611,,,D,C,False
1945,global_010612,,,A,D,False
1947,global_010613,1,Change Detection,D,C,False
1948,global_010614,,,A,A,True
1955,global_010615,,,B,B,True
1957,global_010616,,,C,C,True
1958,global_010617,,,C,D,False
1959,global_010618,,,C,D,False
1961,global_010619,,,C,A,False
1962,global_010620,5,Holistic Understanding of Events,C,C,True
1963,global_010621,5,Holistic Understanding of Events,C,C,True
1964,global_010622,,,C,A,False
1965,global_010623,1,Change Detection,C,A,False
1966,global_010624,5,Holistic Understanding of Events,A,D,False
1967,global_010625,,,C,D,False
2362,global_010644,1,Change Detection,A,B,False
2367,global_010645,5,Holistic Understanding of Events,B,A,False
2370,global_010646,,,C,B,False
2371,global_010647,1,Change Detection,C,B,False
2372,global_010648,5,Holistic Understanding of Events,C,B,False
2373,global_010649,1,Change Detection,A,D,False
2375,global_010650,1,Change Detection,C,C,True
2376,global_010651,3,Action Transition,A,C,False
2378,global_010652,5,Holistic Understanding of Events,B,A,False
2379,global_010653,5,Holistic Understanding of Events,A,C,False
2380,global_010654,5,Holistic Understanding of Events,A,A,True
2381,global_010655,,,D,A,False
2383,global_010656,5,Holistic Understanding of Events,C,A,False
2385,global_010657,3,Action Transition,A,D,False
2386,global_010658,2,Interaction Recognition,B,D,False
2387,global_010659,5,Holistic Understanding of Events,C,C,True
2390,global_010660,5,Holistic Understanding of Events,C,C,True
2391,global_010661,5,Holistic Understanding of Events,C,C,True
2392,global_010662,5,Holistic Understanding of Events,C,C,True
2393,global_010663,1,Change Detection,B,B,True
2394,global_010664,,,A,D,False
2395,global_010665,1,Change Detection,B,B,True
2396,global_010666,1,Change Detection,A,A,True
2398,global_010667,,,A,C,False
2400,global_010668,5,Holistic Understanding of Events,C,C,True
2401,global_010669,1,Change Detection,A,C,False
2407,global_010670,1,Change Detection,D,D,True
2408,global_010671,5,Holistic Understanding of Events,E,A,False
2411,global_010672,,,A,B,False
2413,global_010673,1,Change Detection,A,C,False
2414,global_010674,1,Change Detection,E,B,False
2417,global_010675,4,Causal Motion,A,D,False
2561,global_010692,,,C,C,True
2565,global_010693,,,A,B,False
2567,global_010694,5,Holistic Understanding of Events,C,B,False
2568,global_010695,5,Holistic Understanding of Events,C,D,False
2573,global_010696,,,B,B,True
2574,global_010697,5,Holistic Understanding of Events,C,C,True
2576,global_010698,5,Holistic Understanding of Events,B,A,False
2580,global_010699,,,E,A,False
2641,global_010700,5,Holistic Understanding of Events,E,D,False
2642,global_010701,3,Action Transition,A,A,True
2646,global_010702,2,Interaction Recognition,C,D,False
2647,global_010703,1,Change Detection,A,D,False
2651,global_010704,,,B,D,False
2652,global_010705,3,Action Transition,C,D,False
2654,global_010706,,,A,A,True
2657,global_010707,4,Causal Motion,A,B,False
2658,global_010708,5,Holistic Understanding of Events,A,C,False
2664,global_010709,5,Holistic Understanding of Events,B,B,True
2665,global_010710,5,Holistic Understanding of Events,A,A,True
2672,global_010711,2,Interaction Recognition,C,A,False
2673,global_010712,5,Holistic Understanding of Events,A,C,False
2674,global_010713,,,A,C,False
2675,global_010714,4,Causal Motion,A,A,True
2677,global_010715,5,Holistic Understanding of Events,A,D,False
2678,global_010716,1,Change Detection,B,D,False
2680,global_010717,,,C,A,False
2682,global_010718,5,Holistic Understanding of Events,A,A,True
2683,global_010719,3,Action Transition,C,C,True
2684,global_010720,5,Holistic Understanding of Events,B,B,True
2685,global_010721,5,Holistic Understanding of Events,C,C,True
2689,global_010722,2,Interaction Recognition,E,D,False
2692,global_010723,5,Holistic Understanding of Events,C,C,True
2723,global_010724,5,Holistic Understanding of Events,A,A,True
2725,global_010725,5,Holistic Understanding of Events,C,B,False
2728,global_010726,4,Causal Motion,A,A,True
2729,global_010727,5,Holistic Understanding of Events,A,C,False
2731,global_010728,,,A,B,False
2732,global_010729,3,Action Transition,D,C,False
2733,global_010730,4,Causal Motion,D,C,False
2736,global_010731,1,Change Detection,B,C,False
2739,global_010732,3,Action Transition,D,B,False
2741,global_010733,,,C,B,False
2746,global_010734,4,Causal Motion,D,A,False
2747,global_010735,,,B,C,False
2750,global_010736,,,A,A,True
2751,global_010737,1,Change Detection,A,A,True
2753,global_010738,,,B,A,False
2754,global_010739,,,C,C,True
2756,global_010740,,,D,D,True
2757,global_010741,3,Action Transition,A,D,False
2759,global_010742,,,E,A,False
2762,global_010743,5,Holistic Understanding of Events,C,D,False
2763,global_010744,5,Holistic Understanding of Events,D,C,False
2764,global_010745,5,Holistic Understanding of Events,C,D,False
2766,global_010746,5,Holistic Understanding of Events,D,D,True
2767,global_010747,2,Interaction Recognition,D,B,False
2768,global_010748,4,Causal Motion,A,B,False
2769,global_010749,,,D,D,True
2770,global_010750,4,Causal Motion,C,D,False
2771,global_010751,2,Interaction Recognition,B,C,False
2773,global_010752,4,Causal Motion,A,D,False
2776,global_010753,5,Holistic Understanding of Events,A,C,False
2778,global_010754,,,B,A,False
2779,global_010755,5,Holistic Understanding of Events,B,A,False
2780,global_010756,,,B,D,False
2781,global_010757,5,Holistic Understanding of Events,A,A,True
